Titre,Année,Public,Durée,Genre,Note,Synopsis,Acteurs,Langues,Pays d'origine,Nombre d'épisodes,Nombre de saisons
L'attaque des titans,2013–2022,16,"24,m","Animation,Action,Adventure",9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Yûki Kaji,Marina Inoue,Josh Grelle,Yui Ishikawa,Bryce Papenbrook,Trina Nishimura,Kishô Taniyama,Hiro Shimono,Clifford Chapin,Mike McFarland,Romi Park,Hiroshi Kamiya,Yû Kobayashi,Matthew Mercer,Jessica Calvello,Daisuke Ono,Yoshimasa Hosoya,Ashly Burch",Japanese,Japan,86,4 seasons
Fargo,2014– ,Tous publics,"53,m","Crime,Drama,Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,Russell Harvard,Bokeem Woodbine,Brad Mann,Kirsten Dunst,Ewan McGregor,Chris Rock,Patrick Wilson,Carrie Coon,Jessie Buckley,Jesse Plemons,Mary Elizabeth Winstead,Jason Schwartzman,David Thewlis,Ted Danson","English,German,Korean,Spanish,American Sign Language,French,Ukrainian,Hebrew,Russian",United States,41,4 seasons
Black Mirror,2011– ,16,"1,h","Drama,Sci-Fi,Thriller",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,Charles Babalola,Toby Kebbell,Daniel Kaluuya,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm,Bryce Dallas Howard,Kelly Macdonald,Gugu Mbatha-Raw,Wyatt Russell,Alex Lawther,Malachi Kirby",English,United Kingdom,22,5 seasons
Death Note,2006–2007,10,"24,m","Animation,Crime,Drama",9.0,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner",Japanese,Japan,37,3 years
Stranger Things,2016– ,16,"51,m","Drama,Fantasy,Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,Gaten Matarazzo,Caleb McLaughlin,Natalia Dyer,Charlie Heaton,Joe Keery,Cara Buono,Noah Schnapp,Sadie Sink,Priah Ferguson,Joe Chrest,Matthew Modine,Dacre Montgomery,Maya Hawke,Brett Gelman","English,Russian",United States,34,4 seasons
True Detective,2014–2019,12,"55,m","Crime,Drama,Mystery",8.9,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon",English,United States,24,3 seasons
The Office,2005–2013,13,"22,m",Comedy,8.9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Creed Bratton,Oscar Nuñez,Mindy Kaling,B.J. Novak,Ed Helms,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods",English,United States,188,9 seasons
Friends,1994–2004,Tous publics,"22,m","Comedy,Romance",8.8,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Aisha Tyler,Giovanni Ribisi","English,Spanish,Italian,French,Dutch,Hebrew",United States,235,10 seasons
"Avatar, le dernier maître de l'air",2005–2008,T,"23,m","Animation,Action,Adventure",9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie",English,United States,62,3 seasons
Les Soprano,1999–2007,Tous publics,"55,m","Crime,Drama",9.2,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseli...","James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent","English,Italian,Russian",United States,86,6 seasons
Sur écoute,2002–2008,Tous publics,"59,m","Crime,Drama,Thriller",9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba","English,Greek,Mandarin,Spanish",United States,60,5 seasons
Rick et Morty,2013– ,12,"23,m","Animation,Adventure,Comedy",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,Kari Wahlgren,Dan Harmon,Maurice LaMarche,Tom Kenny,Brandon Johnson,Ryan Ridley,Nolan North,Cassie Steele,Phil Hendrie,Echo Kellum,Keith David,Rob Schrab,Rob Paulsen,Tara Strong",English,United States,52,6 seasons
Sherlock,2010–2017,Tous publics,"1,h, ,28,m","Crime,Drama,Mystery",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Lindsay Duncan,Yasmine Akram,Sian Brooke,Tanya Moodie,Simon Kunz,Wanda Ventham,Timothy Carlton,Lisa McAllister",English,"United Kingdom,United States",15,4 seasons
Game of Thrones,2011–2019,12,"57,m","Action,Adventure,Drama",9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn",English,"United States,United Kingdom",73,8 seasons
Frères d'armes,2001,Tous publics,"9,h, ,54,m","Action,Drama,History",9.4,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing","English,Dutch,French,German,Lithuanian","United States,United Kingdom",10,1 season
Chernobyl,2019,12,"5,h, ,30,m","Drama,History,Thriller",9.4,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Alan Williams,Adrian Rawlins,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik","English,Russian,Ukrainian","United States,United Kingdom",5,1 season
